Type Name,Cyclomatic Complexity,Exception Handlers,Exception Throws,Method Length,Locals Variables,Object Instantiations,Stack Size,Number Of Fields,Number Of Methods,Nested Types,Properties,Depth In Tree,Total Toxicity
BinaryFormatter,0,0,0,0,0,0,39.6,0,1.35,0,0,0,40
Version,9.8,0,1.33333333333333,1.045,0,0,25.2,0,1.45,0,0,0,40
ConstructorOnTypeBuilderInstantiation,0,0,0,0,0,0,38.4,0,1.25,0,1.2,0,40
Exception,2.8,0,0,1.1575,0,0,30.4,2,2,0,0,0,40
EventAttribute,0,0,0,0,0,0,36.8,1.1,1.15,0,1.1,0,40
ExecutionContext,10.4,0,0,0,0,0,25.6,1.1,1.45,0,0,0,39
RtFieldInfo,8,0,0,0,0,0,29.8,0,1.2,0,0,0,39
RegistryPermission,21.8,0,0,0,0,0,16,0,0,0,0,0,39
Boolean,2.6,0,0,0,0,0,35.2,0,1.35,0,0,0,39
IdentityReferenceCollection,8,0,2,2.105,1.4,2,24,0,0,0,0,0,39
BinaryReader,13,0,2.66666666666667,0,0,0,20.8,0,1.5,0,0,0,39
SBCSCodePageEncoding,26.4,0,0,4.2375,0,0,6.4,0,0,0,0,0,39
ResourceWriter,9.8,1.66666666666667,1.33333333333333,5.4775,2.2,2.83333333333333,13.8,0,0,0,0,0,39
DynamicILGenerator,13.8,0,2.66666666666667,0,0,0,19.2,0,1.55,0,0,0,38
FieldBuilder,1.2,0,1.66666666666667,0,0,0,34.6,0,1.3,0,0,0,38
FileSystemSecurity,5,0,0,0,0,0,32.4,0,1.15,0,0,0,38
RawSecurityDescriptor,4.8,0,3.33333333333333,0,0,1.5,28.4,0,0,0,0,0,38
Tokenizer,11.2,0,2,4.395,1.33333333333333,1.16666666666667,10.8,3.6,0,2.5,0,0,38
ISCIIEncoding,16.6,0,0,3.655,0,0,14,2.7,0,0,0,0,38
SymmetricAlgorithm,2.8,0,0,0,0,0,33.6,0,1.45,0,0,0,37
HostProtectionAttribute,0,0,0,0,0,0,36.8,0,1.15,0,0,0,37
FileIOPermissionAttribute,1.6,0,0,0,0,0,34.8,0,1.1,0,0,0,37
ManualResetEventSlim,5.2,0,0,0,0,0,28.8,1.5,1.55,0,0,0,37
RuntimeMethodHandle,0,0,0,0,0,0,33.2,0,4,0,0,0,37
